Index,Name,Year Opened,Region,Latitude,Longitude
1821,Enlightenment Ales,2011,Massachusetts,42.399884,-71.0638101
1822,Eola Beer Company,2010,North Carolina,35.912819,-81.54234
1823,EPIC Brewing Company,2008,Colorado,39.7633152,-104.9814457
1824,EPIC Brewing Company,2008,Utah,40.7511051,-111.8878836
1825,Epicure Brewing,2016,Connecticut,41.525084,-72.0745328
1826,Epidemic Ales,2014,California,38.0099411,-122.0390426
1827,Eppig Brewing,2016,California,32.755723,-117.128732
1828,Equinox Brewing Company,2010,Colorado,40.586331,-105.0757067
1829,Erie Ale Works,2011,Pennsylvania,42.1202333,-80.0902751
1830,Erie Brewing Company,1993,Pennsylvania,42.118751,-79.9677288
1831,Escape Craft Brewery,2014,California,34.0613533,-117.2182125
1832,Escutcheon Brewing Co.,2015,Virginia,39.1957435,-78.1632121
1833,Esser's Cross Plains Brewery,1852,Wisconsin,43.114731,-89.653129
1834,EST Brewing Company,2013,New York,40.65,-73.95
1835,Eternity Brewing Company,2014,Michigan,42.5861558,-83.8724012
1836,Etna Brewing,2011,California,41.4558803,-122.8457023
1837,ETX Brewing Co,2017,Texas,32.3488403,-95.3009801
1838,ETX Brewing Co,2017,Texas,32.3488403,-95.3009801
1839,Eudora Brewing Company,2012,Ohio,39.67479,-84.115728
1840,EuroBevs,2009,Georgia,33.857116,-84.4812648
1841,Eventide Brewing,2011,Georgia,33.7267406,-84.3770641
1842,Evergreen Brewery,2015,Colorado,39.6605409,-105.3521391
1843,Evil Czech Brewery,2011,Indiana,41.6944413,-86.181821
1844,Evil Czech Brewery,2011,Indiana,41.2121766,-86.4247818
1845,Evil Genius Beer Company,2011,Pennsylvania,39.9757143,-75.1341629
1846,Evil Horse Brewing Company,2016,Illinois,41.444895,-87.631684
1847,Evolution Craft Brewing Company,2009,Delaware,38.4622609,-75.5741469
1848,Evolution Craft Brewing Company,2009,Maryland,38.3618491,-75.5960119
1849,Excel Brewing Company,2012,Illinois,38.6065596,-89.5291567
1850,Excelsior Brewing Company,2012,Minnesota,44.9021,-93.567093
1851,Exhibit 'A' Brewing Company,2016,Massachusetts,42.2789115,-71.4016418
1852,Exile Brewing Company,2012,Iowa,41.583013,-93.637015
1853,Exit 6 Brewery,2011,Missouri,38.744273,-90.640404
1854,Exit Strategy Brewing Company,2015,Illinois,41.879132,-87.817123
1855,F-Town Beer Company,2015,Minnesota,44.2947864,-93.2675141
1856,Faction Brewing,2013,California,37.7872324,-122.3082938
1857,Factotum Brewhouse,2015,Colorado,39.7702264,-105.0021368
1858,Fair State Brewing Cooperative,2014,Minnesota,45.0135573,-93.2477591
1859,Fair Winds Brewing Company,2015,Virginia,38.739069,-77.184469
1860,Fairfield Craft Ales,2016,Connecticut,41.1758427,-73.1473616
1861,Fairhope Brewing Company,2012,Alabama,30.516367,-87.884994
1862,Fairport Brewing Company,2010,New York,43.0952544,-77.4311364
1863,Fall Brewing Company,2014,California,32.7600184,-117.130568
1864,Fall River Brewing Company,2012,California,40.571368,-122.351151
1865,Falling Branch Brewery,2015,Maryland,39.6662803,-76.3728353
1866,Falling Down Beer Company,2012,Michigan,42.4760128,-83.0797993
1867,Falling Sky,2012,Oregon,44.0511904,-123.1049724
1868,Falling Sky,2012,Oregon,44.0453893,-123.0918783
1869,Falling Sky,2012,Oregon,44.0451123,-123.0919565
1870,Falls City Brewing Company,1905,Kentucky,38.246745,-85.731312
1871,Family Business Beer Company,2017,Texas,30.292163,-98.077812
1872,Fannin Brewing Company,2012,Georgia,34.8721688,-84.3157179
1873,Far Afield Cider,2015,Oregon,44.0619928,-121.3039159
1874,Far From The Tree Cider,2015,Massachusetts,42.514745,-70.899891
1875,Fargo Brewing Company,2011,North Dakota,46.8829403,-96.7982035
1876,Farm Creek Brewing Company,2013,California,37.9098543,-122.0636112
1877,FarmHouse Brewery,2012,New York,42.1028864,-76.2612858
1878,Farmington Brewing Company,2012,Michigan,42.464946,-83.375958
1879,Farnam House Brewing Company,2013,Nebraska,41.2577549,-95.9657604
1880,Farnham Ale & Lager,2013,Vermont,44.4831637,-73.156916
1881,Farnum Hill Ciders,1990,New Hampshire,43.6026573,-72.2890005
1882,Fat Bottom Brewing,2011,Tennessee,36.157153,-86.8394228
1883,Fat Head's Brewery,2012,Ohio,40.860779,-81.420033
1884,Fat Head's Brewery,2012,Ohio,41.3840058,-81.8316626
1885,Fat Head's Brewery,2012,Ohio,41.426338,-81.8942255
1886,Fat Head's Brewery,2012,Pennsylvania,40.4289752,-79.9801808
1887,Fat Hill Brewing,2016,Iowa,43.152422,-93.2006509
1888,Fat Orange Cat Brew Co.,2016,Connecticut,41.5595334,-72.4717504
1889,Fat Pig Brewing Company,2015,South Carolina,32.802569,-80.115121
1890,Fat Point Brewing,2011,Florida,26.942033,-82.029219
1891,FATE Brewing Company,2012,Colorado,40.0142835,-105.2478613
1892,Father John's Brewery,2013,Ohio,41.473007,-84.55401
1893,Fathom & League Hop Yard Brewery,2009,Washington,48.102948,-123.156891
1894,Faultline Brewing Company,1994,California,37.3876487,-121.9924739
1895,Feather Falls Casino Brewing Co,2010,California,39.4665999,-121.5164066
1896,Feather River Brewing Co,2011,California,39.841744,-121.578419
1897,Federal Jack's,1992,Maine,43.3603638,-70.4795243
1898,Fegley's Brew Works,1998,Pennsylvania,40.6013531,-75.4739451
1899,Fegley's Brew Works,1998,Pennsylvania,40.6222629,-75.3821851
1900,Fenton Winery & Brewery,2008,Michigan,42.851823,-83.703333
1901,FERMÆNTRA,2014,Colorado,39.6787523,-104.9670465
